epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.13,0.96117,0.68192,0.99569,0.89453,0.8747,0.94198,0.70259,0.90215,0.54225,0.9945,0.00332888,0.00332888,0.00332888
2,220.682,0.97578,0.62292,0.99174,0.886,0.85498,0.92305,0.67557,0.93304,0.58329,1.01315,0.00664903,0.00664903,0.00664903
3,327.653,1.0478,0.68726,1.02129,0.85873,0.8184,0.89373,0.64513,0.97117,0.70131,1.03298,0.00995597,0.00995597,0.00995597
4,433.468,1.0815,0.71405,1.04529,0.88231,0.83901,0.91644,0.66998,0.95329,0.61577,1.03316,0.0099406,0.0099406,0.0099406
5,539.465,1.04031,0.67411,1.03395,0.88862,0.84609,0.9231,0.69005,0.89294,0.58291,0.9975,0.0099208,0.0099208,0.0099208
6,646.107,0.99336,0.63486,1.01371,0.89258,0.86497,0.9329,0.70652,0.86862,0.55019,0.99054,0.009901,0.009901,0.009901
7,753.02,0.95127,0.60101,0.99716,0.89856,0.87204,0.9396,0.71594,0.83087,0.52207,0.97361,0.0098812,0.0098812,0.0098812
8,860.019,0.91545,0.57521,0.98456,0.90006,0.868,0.93964,0.72411,0.81425,0.5184,0.96814,0.0098614,0.0098614,0.0098614
9,966.834,0.89702,0.5578,0.97616,0.90454,0.8799,0.94638,0.73569,0.79754,0.49406,0.97182,0.0098416,0.0098416,0.0098416
10,1073.67,0.87925,0.54511,0.97208,0.91082,0.88901,0.95199,0.74996,0.77578,0.46917,0.95522,0.0098218,0.0098218,0.0098218
11,1180.62,0.85867,0.52652,0.96301,0.90768,0.89223,0.95127,0.75636,0.7565,0.46359,0.94404,0.009802,0.009802,0.009802
12,1287.69,0.84433,0.51866,0.95446,0.91134,0.8968,0.95572,0.76212,0.74694,0.44373,0.94305,0.0097822,0.0097822,0.0097822
13,1394.49,0.82953,0.50482,0.95175,0.92794,0.89909,0.9616,0.77623,0.72779,0.42955,0.93679,0.0097624,0.0097624,0.0097624
14,1501.21,0.81709,0.49533,0.94918,0.92522,0.89908,0.96253,0.78181,0.70667,0.42176,0.9267,0.0097426,0.0097426,0.0097426
